job_title,description,key_skills
"direct hiring for hotel reservation staff","immediate hiring for star hotel reservation process for leading hotel chain ,, only females salary , - . lpa to . lpa + free home picks and drops for females+ meals.+ pf + medical insurance +incentive perks for telephonic round call or whatsapp hr diksha send cv with your portfolio photos on jobs careerinnovators.com no visiting, registration charges, no hidden charges candidate profile, applicant should be a grad","administration,ites,bpo,international call center,hospitality,diploma,hotel,intern,freshers,course,hotel jobs"
"management trainee - invoice to cash","with a startup spirit and ,+ curious and courageous minds, we have the expertise to go deep with the worldandrsquos biggest brandsandmdashand we have fun doing it. now, weandrsquore calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. come, transform with us.are you the one we are looking for,we are inviting applications for the role of mt, cash applicationsin this role, you will be","operations,management trainee - invoice to cash"
"software development engineer","job description ,are you a driven software development engineer who wants to have a direct impact on customers and the team, do you enjoy building flexible, performant and extensible solutions for complex financial and risk problems, as a software development engineer on amazon lending, you will lead designing and building systems to support our financial products. in this role you will work closely with a talented team of software engineers, pro","software development engineer,linux environment,aws,unix,design,c++,c,architecture,java,object-oriented design"
"bandhan bank staff selection","bandhan bank hiring notice for fresher for branch banking segmentdsa job location - all over west bengal, nearest branch gender - male , female both job profile .branch banking executive in - house. .data entry operator. .operations executive. .salary scale - rs. to rs.year .location - depends your nearest pin code branch. required criteria age - to year qualification - minimum hs onwards , graduate at any stream. communication - local, hindi industry - banking benefits - medical + pf + e s i job role - handling walking customers. greetings them and assisting them to solve their issues. give the bio data on mail - bandhanbankdepatment gmail.com selection procedure walking interview is going on, send your updated resume, bio data by whats-app on the above no,for any quarries you call on this no saptadipa das required qualifications","operator,banking,app,,bengal,pin,quarries,greetings,whats,hs onwards,banking segment dsa,saptadipa das,bankdepatmentgmail"
"business development","job description ,job summaryvalue added services vas team is looking for a data-driven and result-oriented business leader to expand services charter for indian customers.a successful candidate will build solutions by leveraging existing business partner relationships and will forge new synergistic relationship. he, she will be a self-starter, embraces ambiguity and operates with significant autonomy with senior leaders.this role presents a sign","sales,business development,sql,account management"
"purchase engineer","candidate should have purchase management skills in electrical filed,independently handling negotiating and finalizing the quotations taken from the vendors, maintain material report,making formalities,mis reports,strong organization , comm-skills education ug , graduation not required, b.tech, b.e. in electrical pg , post graduation not required, any postgraduate in any specialization doctorate , any doctorate in any specialization, doctorate not required",""
"site reliability engineer","overview tibco cloud mashery api management platform the cloud-native api platform you can deploy anywhere, and manage apis from everywhere. what is site reliability engineering sre, sre is what you get when you treat operations as if its a software problem. our mission is to protect, provide for, and progress the software and systems behind all of googles public services - google search, ads, gmail, android, youtube, and app engine,","ci tools,cloud infrastructure,api management,version control tools,alerting tools,code tools"
"hiring customer voice service technology support for bangalore location","skill required, query management - customer service technology support designation, associate job location, bengaluru qualifications, any graduation years of experience, - yearsnotice period , immediate to days shift timings , should be flexible to work in rotational shifts andamp, offswork from office from the date on joining no work from homeapply if your ctc less than lpayou will be aligned with our customer support vertical and help u","customer care executive,customer care,customer support,voice process,international call center,customer service,customer support executive,international bpo,bpo executive"
"marketing","about part time job, internship selected interns day-to-day responsibilities include, . creating social media assets . managing social media . working on research, implement and execute strategies who can apply only those candidates can apply who, are available for the part time job, internship","marketing"
"pd, timing staff engineer","about marvellat marvell, we believe that infrastructure powers progress. that execution is as essential as innovation. that better collaboration builds better technology. trusted by the worlds leading technology companies for years, we move, store, process and secure the worlds data with semiconductor solutions designed for our customers current needs and future ambitions. through a process of deep collaboration and transparency, were ulti","tcl,shell,perl,awk,"
"walkin,telecaller married female only year bond compulsory","qualification education specialisation details graduate graduate - any job description vacancy uploaded on , , , vacancy uploaded by ketan candidate must ready for year bond compulsory only married female can apply for the post responsibilities, calling to the customers attending incoming calls book keeping records handling queries","tele marketing,polite,good communication"
"supply chain advisor","candidates must be currently in bangalorecandidates must be flexible for shiftscandidates must be flexible for relocations.candidates must possess excellent communication skillscandidates must be flexible for contract roles","supply chain advisor"
"customer support customer service executive","urgent requirement a csa, sr.csa in this role deals with making outbound, inbound calls to the customer for various process related tasksshould read and write in english.process, bob bank of baroda domestic voice inbound customer servicelanguages required, english-hindiqualification, grad, ug fresher, experiencesalary , fresher, experienced k take homejob location, whitefieldcab facitity will be providedimmidiate joinersjob location,","customer support,voice process,hindi,english,production support,voice support"
"full-stack web developer react, wordpress app","the ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. you must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects. rehabpath, a us company based in madison wi and with an office in pune, owns a number of websites in a variety of markets worldwide. our pune office primarily works in the indian market by providing a comprehensive data set of treatment centers around the country, while providing an advertising platform to treatment center. the primary website that you will be maintaining and part of rebuilding is found at rehabs.in. this site is hosted on aws, and built on a mix of wordpress and reactj","architecture,wordpress"
"marketing executive for financial services company","hiring for marketing executive for a reputed financial services company freshers eligible qualification hs minimum location, kolkata, howrah, hooghly salary k plus travelling allowance plus incentive candidates from mr background will be offered salary up to","incentive,hooghly,marketing,marketing executive,hs,medical representatives,financial,mr,k"
"postgresql administration cloud services operations","job description about accenture, accenture is a global professional services company with leading capabilities in digital, cloud and security. combining unmatched experience and specialized skills across more than industries, we offer strategy and consulting, interactive, technology and operations services-all powered by the worlds largest network of advanced technology and intelligent operations centers. our , people deliver on the p","cloud"
"customer care executive - international voice process - days working","job description, calling the insurance carriers based on the appointment received by the clients. outbound calls to insurances for claim status and eligibility verification denial documentation and further action. working on the outstanding claims reports, account receivable reports received from the client or generated from the specific client software. maintain the individual daily logs performs assigned tasks, completes targets with spee","customer care executive,medical billing,revenue cycle management,us healthcare,voice process,international call center,international bpo,call center executive,ar caller,cash posting,bpo fresher,rcm,bpo call centre"
"web development","about the internship selected interns day-to-day responsibilities include, . maintain our e-commerce marketplace website to eliminate bugs and tweak fixes immediately . ensure smooth operations of bsmhyd.com . build a website from scratch on javascript and implement api integrations with razorpay, shiprocket, etc. skills required user interface ui development ui , ux design who can apply","javascript,retail"
"online data entry jobs, work from home, data entry, part time jobs, typing jobs, data entry jobs","we offer data entry job, work from home jobs, part time jobs, home based jobs, online data entry jobs, work at home jobs for more details contact us on our whatsapp number","fresher,back office,office assistant,computer operator,bpo,data entry operator,backend,data entry,deo,typist,typing,freelance,non voice,back office executive,online job,part time work from home part time job,part time job,typist,computer operator"
